Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 1 - Location 4,1,4,1,,,9.031917541819269,,,,4.228301901484912,,0.026180901178398
Location 2 - Location 2,2,2,1,,,8.090202494930498,,,,3.667284912607905,,0.027099856175612
Location 4 - Location 2,4,2,1,,,12.447261793929121,,,,10.267854806112648,,0.096893972352486
Location 5 - Location 3,5,3,1,,,5.858664268587703,,,,2.562767220445187,,0.014575247571902
Location 6 - Location 4,6,4,1,,,14.893393189723202,,,,11.927019446386467,,0.101405353791255
Location 7 - Location 4,7,4,1,,,10.003435767351110,,,,4.843456672177934,,0.040131362811781
Location 7 - Location 3,7,3,2,,,13.665572608171425,,,,7.577961371884966,,0.072104943685761
Location 8 - Location 1,8,1,1,,,11.592107803561095,,,,4.229478809521005,,0.028205696898613
Location 11 - Location 2,11,2,1,,,12.141182536188555,,,,5.937442162588549,,0.041023619290490
Location 12 - Location 4,12,4,1,,,10.454914566056072,,,,9.538093083726267,,0.041225332446124
Location 13 - Location 3,13,3,1,,,8.057136535644531,,,,3.170734405517578,,0.030542371541076
Location 17 - Location 4,17,4,1,,,12.121022386384883,,,,6.389192727006172,,0.046482393028103
Location 19 - Location 1,19,1,1,,,7.101377915446439,,,,2.302017218038085,,0.011472161823256
Location 22 - Location 2,22,2,1,,,8.898446236442632,,,,5.047278548112449,,0.040522573606373
Location 26 - Location 3,26,3,1,,,12.708394432049843,,,,6.163362743972998,,0.047614338576219
Location 28 - Location 3,28,3,1,,,8.737600950580870,,,,4.782688215206979,,0.044877690782341
Location 28 - Location 4,28,4,2,,,13.668898591676614,,,,7.357292100955131,,0.070835921947531
Location 29 - Location 3,29,3,1,,,12.044792466946951,,,,6.442399159234478,,0.060441952131961
Location 30 - Location 3,30,3,1,,,4.091973632773767,,,,1.794605964455024,,0.015985650226777
Location 31 - Location 2,31,2,1,,,14.200366411883968,,,,11.148612943392029,,0.089526882758989
Location 32 - Location 4,32,4,1,,,9.917192806645204,,,,4.626176243447786,,0.036540735866387
Location 36 - Location 3,36,3,1,,,5.912364695666680,,,,2.573006137406470,,0.021536093033842
Location 37 - Location 4,37,4,1,,,8.027477581034551,,,,3.555595995911701,,0.027980700368937
Location 39 - Location 4,39,4,1,,,4.006789457664258,,,,1.154900256400881,,0.008208138866316
