DAUID,Median_income_2020,Population_2021,Total_households
35020141,115000,1720,660
35020142,116000,2253,850
35020143,108000,558,230
35020144,130000,839,295
35020145,119000,441,165
35020146,124000,833,305
35020147,118000,457,175
35020148,74000,511,220
35020150,87000,874,345
35020151,108000,1213,490
35020152,91000,649,315
35020153,126000,836,310
35020154,131000,548,190
35020155,108000,852,355
35020156,148000,434,145
35020157,115000,559,230
35020158,91000,515,220
35020159,140000,500,170
35020160,143000,1168,390
35020161,138000,2352,845
35020162,120000,562,205
35020163,118000,526,195
35020164,124000,456,160
35020165,118000,521,190
35020166,118000,556,205
35020167,108000,473,190
35020168,125000,621,215
35020169,99000,472,175
35020170,83000,666,275
35020171,81000,498,195
35020172,71000,499,220
35020173,83000,557,235
35020174,86000,630,260
35020175,89000,662,275
35020176,67000,608,265
35020177,54800,386,190
35020178,58400,460,235
35020179,68500,421,200
35020180,94000,528,210
35020181,97000,471,185
35020182,76500,622,270
35020183,47600,701,415
35020184,42000,556,260
35020185,54400,560,215
35020186,47600,716,375
35020187,37600,496,290
35020188,73000,599,270
35020189,36800,558,330
35020190,40000,544,290
35020191,54400,534,260
35020192,56800,682,310
35020193,74000,534,270
35020194,76500,533,240
35020195,97000,852,370
35020196,68500,648,320
35020197,93000,556,215
35020198,89000,888,380
35020199,84000,552,225
35020200,72500,475,205
35020201,72500,471,195
35020202,68000,476,200
35020203,45200,749,355
35020204,63600,526,245
35020205,50400,512,280
35020206,72000,746,365
35020207,148000,2505,820
35020208,145000,891,290
35060001,164000,529,190
35060002,146000,621,215
35060003,162000,894,295
35060005,148000,874,305
35060006,137000,2360,895
35060007,143000,827,285
35060010,144000,291,105
35060011,162000,549,185
35060012,135000,552,190
35060014,71000,628,345
35060015,108000,510,205
35060016,118000,380,150
35060017,98000,455,190
35060018,117000,409,155
35060019,113000,563,210
35060020,135000,430,165
35060021,129000,596,195
35060022,143000,565,200
35060023,115000,467,170
35060024,157000,266,90
35060025,139000,806,285
35060026,174000,286,90
35060027,134000,727,260
35060028,182000,325,105
35060029,130000,1617,570
35060030,127000,295,110
35060031,135000,638,220
35060032,95000,747,285
35060033,145000,398,125
35060034,133000,397,135
35060035,128000,419,155
35060036,149000,542,175
35060037,134000,518,175
35060038,124000,384,150
35060039,124000,737,255
35060043,148000,769,275
35060044,158000,337,120
35060045,109000,658,285
35060047,,194,75
35060048,103000,333,130
35060049,110000,438,165
35060050,106000,270,110
35060051,109000,686,255
35060052,62400,789,490
35060053,121000,733,265
35060054,104000,591,240
35060055,103000,334,140
35060056,104000,306,130
35060057,129000,627,245
35060058,117000,330,135
35060059,116000,455,180
35060061,116000,442,170
35060062,101000,532,210
35060064,85000,393,180
35060065,133000,303,120
35060066,149000,300,100
35060067,153000,251,85
35060069,122000,713,260
35060070,130000,614,240
35060071,108000,622,240
35060072,137000,299,115
35060073,146000,309,120
35060074,111000,470,180
35060075,103000,648,260
35060076,95000,401,145
35060078,142000,474,165
35060079,96000,632,170
35060080,140000,408,140
35060081,88000,498,225
35060082,94000,531,250
35060083,108000,1048,415
35060089,102000,997,190
35060090,126000,513,195
35060091,162000,323,115
35060092,140000,554,195
35060093,152000,410,145
35060094,146000,550,210
35060095,145000,621,230
35060096,155000,738,270
35060097,117000,1480,495
35060098,188000,359,125
35060099,155000,387,120
35060100,122000,297,105
35060101,133000,370,135
35060102,120000,611,230
35060103,140000,327,125
35060104,137000,611,215
35060105,118000,942,355
35060106,124000,444,165
35060107,110000,1078,455
35060108,101000,492,185
35060109,115000,554,205
35060110,133000,548,195
35060111,116000,807,290
35060112,125000,1502,560
35060116,85000,322,130
35060117,109000,481,165
35060118,88000,310,135
35060119,87000,1241,585
35060120,98000,379,150
35060121,115000,689,280
35060122,105000,528,225
35060123,59200,478,330
35060124,136000,357,140
35060125,87000,417,180
35060126,88000,1306,505
35060127,132000,724,240
35060128,93000,504,130
35060129,141000,1034,375
35060132,137000,896,340
35060133,162000,892,300
35060134,83000,487,155
35060135,112000,867,280
35060137,,233,85
35060138,151000,512,190
35060139,115000,365,145
35060140,83000,872,350
35060141,144000,526,195
35060143,157000,508,175
35060144,182000,496,175
35060145,212000,700,240
35060146,220000,521,180
35060147,,422,30
35060148,117000,450,190
35060149,97000,1007,430
35060150,65000,528,300
35060151,108000,695,240
35060152,,278,80
35060153,105000,1092,350
35060154,115000,382,160
35060155,136000,628,220
35060156,74500,853,420
35060157,91000,1175,475
35060159,87000,417,130
35060163,114000,687,260
35060164,122000,495,200
35060165,93000,530,220
35060166,119000,502,200
35060167,117000,1130,420
35060168,133000,698,285
35060170,72000,1135,645
35060171,75000,680,240
35060172,93000,337,110
35060173,63200,422,220
35060178,58000,638,315
35060179,89000,411,140
35060180,90000,383,170
35060181,90000,295,110
35060182,94000,523,190
35060183,26000,565,360
35060184,73000,707,305
35060185,61600,453,195
35060186,93000,1012,385
35060187,64000,446,225
35060188,59200,576,345
35060189,66000,468,200
35060192,56000,445,225
35060194,62400,535,275
35060195,54400,428,225
35060196,52800,398,215
35060197,90000,1546,935
35060198,62800,463,240
35060199,66500,521,275
35060200,71000,398,205
35060201,81000,660,370
35060202,48000,588,325
35060205,85000,518,255
35060206,70500,481,240
35060207,88000,503,240
35060208,53200,539,325
35060209,60800,826,475
35060210,67000,646,245
35060211,216000,467,165
35060213,182000,383,150
35060219,100000,740,385
35060220,174000,319,130
35060221,162000,561,250
35060222,274000,435,145
35060223,298000,460,155
35060224,170000,467,175
35060225,254000,526,205
35060226,198000,422,155
35060227,95000,443,180
35060228,87000,523,200
35060229,100000,399,165
35060230,112000,475,240
35060231,76500,700,365
35060232,58800,543,265
35060233,42800,849,540
35060234,54400,1413,790
35060236,82000,1010,640
35060237,68500,823,350
35060243,147000,551,230
35060246,35600,736,310
35060249,62800,835,380
35060251,40400,465,275
35060252,79500,585,365
35060253,,340,80
35060254,76500,556,370
35060255,81000,548,320
35060264,65000,448,215
35060267,73000,490,235
35060280,174000,520,190
35060282,178000,503,185
35060283,218000,438,155
35060285,194000,460,165
35060286,82000,637,285
35060287,164000,521,210
35060288,142000,502,210
35060289,130000,653,230
35060290,148000,479,185
35060291,192000,575,205
35060292,156000,602,230
35060293,125000,744,295
35060294,172000,571,215
35060295,170000,452,185
35060296,164000,461,180
35060297,71000,541,295
35060298,184000,444,170
35060300,170000,544,210
35060301,132000,467,200
35060305,120000,849,440
35060306,122000,634,300
35060307,85000,627,390
35060308,192000,438,170
35060310,123000,546,235
35060312,192000,599,215
35060313,65500,519,290
35060314,88000,614,315
35060315,68500,473,280
35060324,110000,492,275
35060325,66500,472,360
35060327,94000,618,340
35060329,112000,529,300
35060330,98000,620,350
35060331,62400,519,365
35060332,67500,382,250
35060333,62800,696,485
35060334,70000,1259,925
35060336,44400,568,375
35060337,58000,855,610
35060338,89000,823,575
35060339,70500,771,505
35060343,25400,585,425
35060345,93000,581,260
35060346,80000,434,240
35060347,76000,412,225
35060348,63200,400,215
35060353,62800,561,245
35060354,87000,516,280
35060360,64000,503,305
35060361,37600,609,345
35060364,58800,437,295
35060366,172000,624,240
35060367,81000,630,305
35060368,74500,538,270
35060371,107000,474,205
35060373,170000,486,195
35060375,144000,439,205
35060379,178000,568,215
35060380,112000,593,265
35060381,100000,970,480
35060382,53200,501,315
35060383,85000,749,530
35060384,82000,489,265
35060385,82000,620,390
35060386,59600,512,280
35060387,64500,432,215
35060388,85000,459,320
35060389,54000,464,340
35060390,82000,818,480
35060391,30600,581,360
35060392,88000,595,330
35060393,84000,722,395
35060394,66000,438,260
35060395,85000,515,285
35060396,87000,539,245
35060397,91000,495,245
35060399,110000,847,520
35060400,,297,125
35060401,63600,617,450
35060402,92000,608,400
35060403,95000,701,420
35060404,67500,638,385
35060405,85000,1200,770
35060406,67500,800,565
35060407,97000,951,605
35060408,92000,980,600
35060412,129000,640,275
35060413,170000,658,265
35060417,38000,903,550
35060419,111000,264,110
35060434,220000,427,145
35060435,210000,501,170
35060436,206000,409,145
35060437,216000,455,160
35060438,157000,685,250
35060439,166000,499,185
35060440,112000,441,185
35060443,147000,371,150
35060444,103000,444,190
35060445,138000,461,180
35060446,124000,545,200
35060447,113000,585,210
35060448,140000,664,240
35060449,108000,457,195
35060450,118000,489,195
35060451,116000,396,160
35060452,96000,589,225
35060455,120000,477,185
35060456,115000,403,140
35060457,113000,405,150
35060458,121000,434,155
35060459,112000,453,165
35060460,119000,634,235
35060461,83000,412,175
35060462,97000,560,210
35060463,105000,426,165
35060464,131000,587,205
35060465,101000,421,165
35060466,127000,340,135
35060467,119000,785,210
35060468,107000,1045,280
35060469,64500,1021,460
35060471,127000,679,250
35060474,123000,519,210
35060475,103000,491,180
35060476,59600,593,295
35060479,86000,796,270
35060480,95000,599,160
35060481,111000,655,260
35060482,111000,514,210
35060483,,237,140
35060484,84000,644,270
35060485,,237,80
35060486,115000,1471,640
35060488,113000,1243,375
35060491,155000,331,115
35060492,168000,483,175
35060493,206000,688,225
35060494,140000,339,130
35060495,87000,1514,460
35060496,160000,868,310
35060497,132000,504,195
35060498,105000,384,175
35060499,105000,580,215
35060500,110000,430,175
35060501,76000,370,130
35060502,93000,433,150
35060503,99000,694,195
35060504,113000,304,110
35060505,87000,687,225
35060506,100000,468,165
35060507,98000,419,140
35060508,102000,369,145
35060509,91000,499,205
35060510,77000,697,345
35060511,103000,1250,430
35060512,101000,537,190
35060513,92000,654,250
35060514,47200,701,450
35060515,69000,1542,885
35060516,,248,90
35060517,108000,352,140
35060518,66000,464,225
35060519,103000,351,125
35060520,144000,348,135
35060521,130000,649,250
35060522,138000,565,210
35060523,82000,669,290
35060524,64500,638,240
35060525,54400,1017,425
35060526,65500,1351,500
35060527,102000,332,135
35060529,125000,402,150
35060530,103000,527,215
35060531,62400,1549,745
35060533,113000,753,270
35060534,80000,416,185
35060535,90000,437,180
35060538,52000,370,120
35060539,61200,1404,630
35060544,117000,710,305
35060547,147000,470,165
35060551,129000,388,150
35060553,,234,90
35060554,112000,319,160
35060555,141000,362,135
35060556,90000,1238,475
35060557,67000,1009,390
35060558,80000,1125,405
35060559,70000,582,230
35060560,93000,666,240
35060561,111000,468,190
35060562,105000,992,375
35060563,98000,355,135
35060564,104000,265,90
35060565,108000,281,105
35060567,,226,80
35060568,123000,477,205
35060569,107000,1008,385
35060573,107000,1605,660
35060574,198000,406,145
35060575,172000,614,215
35060576,178000,497,165
35060577,128000,309,130
35060578,134000,346,130
35060579,132000,395,145
35060580,98000,790,285
35060582,127000,637,240
35060585,124000,324,130
35060588,62800,737,360
35060590,109000,508,210
35060592,61600,919,525
35060593,58400,513,215
35060594,108000,559,220
35060595,82000,842,330
35060597,89000,600,290
35060598,168000,644,250
35060599,182000,527,185
35060600,212000,613,215
35060602,116000,624,265
35060603,67000,593,355
35060604,,378,95
35060605,130000,633,250
35060606,116000,500,215
35060607,104000,370,150
35060608,78000,653,220
35060609,86000,635,260
35060610,108000,381,160
35060611,105000,518,180
35060612,119000,496,220
35060613,83000,904,395
35060616,65000,544,255
35060617,77500,598,265
35060618,100000,352,140
35060619,90000,833,330
35060620,83000,702,285
35060622,56000,399,230
35060623,139000,851,315
35060624,150000,583,245
35060625,115000,401,150
35060634,65000,711,260
35060638,58000,916,535
35060641,76000,364,150
35060642,64000,826,470
35060643,,230,110
35060644,89000,312,140
35060645,56000,1709,1140
35060646,113000,509,230
35060647,116000,381,140
35060648,97000,418,170
35060649,62000,875,255
35060653,134000,498,210
35060654,148000,615,235
35060655,144000,347,140
35060656,140000,617,230
35060657,108000,476,215
35060662,170000,567,180
35060663,121000,2548,830
35060668,144000,470,175
35060669,124000,621,235
35060670,111000,424,160
35060671,131000,420,155
35060672,98000,556,245
35060673,104000,704,285
35060678,137000,4222,1455
35060679,133000,5374,1905
35060680,125000,286,110
35060681,101000,555,280
35060682,92000,464,185
35060684,180000,552,190
35060685,116000,603,275
35060686,142000,562,215
35060687,172000,368,130
35060688,95000,816,365
35060689,166000,413,145
35060690,186000,411,130
35060695,131000,361,135
35060696,85000,467,225
35060697,139000,533,200
35060698,166000,602,200
35060701,123000,6029,2095
35060702,99000,393,165
35060703,94000,475,180
35060704,98000,1081,420
35060706,92000,509,175
35060707,108000,593,230
35060708,110000,360,150
35060709,117000,333,125
35060710,108000,327,120
35060711,120000,3607,1180
35060712,129000,573,220
35060713,145000,523,180
35060717,84000,967,360
35060718,125000,436,155
35060719,136000,585,210
35060720,,234,100
35060721,97000,703,280
35060722,105000,561,220
35060723,104000,535,210
35060724,132000,433,170
35060725,116000,763,280
35060726,110000,320,125
35060728,111000,546,215
35060729,121000,484,190
35060731,151000,301,115
35060734,111000,545,225
35060735,172000,1397,465
35060736,152000,766,290
35060737,170000,676,255
35060738,176000,456,165
35060739,81000,515,300
35060740,85000,356,165
35060741,109000,387,130
35060742,84000,633,295
35060743,70500,513,215
35060744,111000,543,205
35060745,122000,372,150
35060746,168000,361,140
35060747,202000,1435,455
35060748,124000,521,200
35060749,94000,437,185
35060750,86000,503,235
35060751,106000,434,180
35060752,109000,390,165
35060753,87000,739,290
35060754,102000,693,290
35060755,141000,530,175
35060758,,244,85
35060759,98000,473,170
35060760,135000,504,165
35060761,136000,417,150
35060762,88000,447,200
35060763,160000,345,115
35060764,126000,685,235
35060765,129000,940,335
35060766,136000,482,160
35060767,130000,641,245
35060768,86000,552,190
35060771,160000,2123,675
35060773,152000,765,260
35060774,130000,491,175
35060775,155000,853,295
35060777,130000,387,140
35060778,162000,520,190
35060779,146000,406,140
35060780,162000,421,145
35060781,139000,746,275
35060782,133000,416,150
35060783,128000,511,190
35060784,157000,405,130
35060785,128000,477,175
35060786,132000,263,90
35060787,90000,452,185
35060789,115000,260,105
35060790,95000,294,120
35060792,113000,482,185
35060793,114000,329,130
35060794,114000,430,160
35060795,111000,401,140
35060796,117000,433,155
35060797,101000,370,130
35060798,134000,421,140
35060799,138000,500,175
35060800,149000,325,110
35060801,116000,459,165
35060802,116000,298,115
35060815,117000,528,185
35060816,,244,90
35060817,99000,516,230
35060818,92000,622,245
35060819,115000,302,115
35060820,135000,397,140
