DAUID,Median_income_2020,Population_2021,Total_households
35200429,65000,543,195
35200430,95000,594,190
35200431,101000,606,180
35200432,128000,399,125
35200433,90000,439,150
35200434,113000,425,130
35200435,101000,448,155
35200436,46400,657,295
35200437,100000,438,145
35200438,100000,570,190
35200439,98000,384,130
35200440,84000,437,165
35200442,68500,516,180
35200443,65000,483,205
35200444,83000,561,120
35200445,104000,353,135
35200449,85000,477,165
35200450,123000,449,150
35200451,116000,321,110
35200452,100000,606,220
35200453,130000,662,245
35200454,64000,698,365
35200455,122000,414,145
35200456,58000,861,485
35200459,91000,332,130
35200460,50000,503,215
35200463,44000,539,290
35200464,76500,666,270
35200465,85000,628,240
35200466,108000,542,185
35200467,102000,577,205
35200468,96000,597,220
35200469,63600,490,210
35200470,54000,579,255
35200471,68500,1430,655
35200472,92000,659,270
35200475,93000,546,200
35200478,110000,526,205
35200479,111000,543,205
35200480,107000,405,140
35200481,131000,446,150
35200482,81000,447,180
35200483,82000,433,185
35200484,56800,739,335
35200488,88000,397,150
35200489,73500,416,185
35200490,116000,376,130
35200491,93000,477,155
35200492,90000,272,105
35200493,115000,324,105
35200494,96000,433,150
35200495,92000,499,175
35200497,69000,923,300
35200498,72000,488,190
35200499,72500,950,370
35200505,76500,421,165
35200506,101000,409,160
35200510,94000,461,170
35200511,112000,462,200
35200512,111000,427,170
35200513,115000,405,175
35200514,126000,464,180
35200515,117000,457,180
35200516,101000,447,190
35200517,100000,545,215
35200518,93000,456,195
35200519,87000,425,185
35200520,118000,523,210
35200521,112000,623,245
35200522,102000,563,225
35200523,116000,564,215
35200524,87000,498,220
35200525,134000,440,155
35200529,75500,914,360
35200531,88000,685,300
35200532,109000,464,175
35200533,146000,265,90
35200534,124000,550,205
35200535,68000,444,190
35200536,59600,1011,505
35200538,76500,2203,815
35200539,72500,1009,310
35200540,94000,493,115
35200541,73500,1151,405
35200542,100000,464,120
35200545,,225,0
35200561,127000,796,300
35200562,115000,534,210
35200563,117000,493,175
35200564,122000,546,200
35200565,124000,537,200
35200566,110000,536,220
35200567,101000,559,205
35200568,116000,531,185
35200569,111000,612,255
35200570,130000,471,180
35200571,96000,564,245
35200572,132000,594,210
35200573,141000,537,205
35200574,91000,454,195
35200575,112000,542,210
35200576,115000,674,260
35200577,122000,551,220
35200578,144000,368,135
35200579,101000,660,270
35200580,162000,499,175
35200581,111000,357,145
35200582,104000,763,300
35200583,61600,774,345
35200584,111000,495,185
35200585,110000,442,170
35200586,127000,577,210
35200587,108000,714,310
35200588,76000,747,330
35200589,115000,644,275
35200590,130000,529,200
35200591,146000,585,215
35200593,99000,727,335
35200594,132000,537,205
35200595,119000,452,185
35200596,81000,920,435
35200597,128000,384,155
35200598,55200,421,185
35200599,79500,547,250
35200600,129000,446,160
35200601,122000,448,175
35200602,127000,451,175
35200603,102000,710,290
35200604,113000,570,245
35200605,126000,619,250
35200606,75500,445,215
35200610,153000,311,120
35200611,142000,530,190
35200612,132000,683,265
35200639,71000,1851,685
35200640,70000,579,190
35200641,64000,1005,445
35200642,70500,455,190
35200643,95000,528,220
35200644,125000,454,165
35200645,100000,487,205
35200646,126000,441,180
35200647,72500,486,250
35200648,69500,744,420
35200649,125000,529,205
35200650,138000,743,285
35200651,136000,734,265
35200652,137000,612,230
35200653,120000,452,165
35200654,174000,1942,680
35200655,101000,520,210
35200656,31800,450,255
35200657,77500,760,355
35200658,129000,677,285
35200659,162000,511,200
35200660,124000,726,300
35200661,34400,871,545
35200662,80000,689,330
35200663,149000,302,120
35200664,157000,721,280
35200665,117000,863,385
35200666,162000,743,280
35200667,112000,469,195
35200668,85000,329,150
35200669,118000,399,180
35200670,160000,487,190
35200671,129000,451,175
35200672,99000,301,130
35200673,52400,589,320
35200674,81000,1001,500
35200675,84000,564,270
35200676,164000,691,245
35200677,150000,499,200
35200678,88000,708,290
35200679,162000,532,190
35200680,104000,789,335
35200681,95000,548,230
35200682,133000,438,175
35200683,91000,752,320
35200686,112000,1010,410
35200687,86000,449,195
35200688,96000,457,185
35200689,112000,347,145
35200690,69500,344,145
35200691,77500,279,140
35200692,96000,330,130
35200693,109000,436,175
35200694,97000,582,235
35200695,97000,551,225
35200696,98000,315,120
35200697,68000,453,180
35200698,118000,335,135
35200699,100000,400,145
35200700,132000,270,100
35200701,126000,470,190
35200702,109000,505,185
35200703,77000,594,235
35200704,34800,499,275
35200705,67000,1007,405
35200706,120000,434,175
35200707,174000,363,140
35200708,145000,477,180
35200709,126000,527,210
35200710,105000,495,220
35200711,107000,505,210
35200712,87000,711,310
35200713,114000,418,170
35200714,137000,397,160
35200715,143000,395,150
35200716,102000,323,145
35200717,98000,435,175
35200718,67000,1352,510
35200719,103000,922,365
35200720,67000,530,230
35200724,115000,706,255
35200725,113000,658,240
35200726,116000,412,150
35200727,117000,512,195
35200728,35600,980,560
35200729,103000,347,125
35200730,133000,346,125
35200731,124000,436,180
35200732,125000,634,255
35200733,168000,506,185
35200734,146000,365,140
35200735,144000,450,175
35200736,164000,388,135
35200737,126000,392,160
35200738,142000,436,155
35200739,81000,568,285
35200740,238000,499,175
35200741,35200,640,395
35200744,81000,1179,635
35200745,54400,309,205
35200746,292000,930,315
35200747,300000,526,185
35200748,178000,549,225
35200749,298000,455,165
35200750,404000,461,155
35200751,376000,537,170
35200752,166000,364,170
35200753,266000,589,245
35200754,110000,626,305
35200755,106000,430,235
35200756,51200,832,520
35200757,89000,1498,815
35200768,44800,463,255
35200769,66000,437,235
35200770,42000,454,280
35200771,29600,913,615
35200772,84000,852,415
35200774,72500,304,150
35200783,69000,478,285
35200791,108000,446,270
35200792,164000,724,320
35200794,150000,527,255
35200795,139000,441,205
35200796,147000,495,230
35200797,74500,451,230
35200798,64500,468,255
35200801,73000,1748,835
35200802,59200,422,120
35200803,62000,711,330
35200804,61200,657,245
35200805,74500,3894,1945
35200806,110000,505,250
35200807,,186,105
35200808,70500,423,245
35200809,,272,125
35200810,93000,785,300
35200811,62800,861,290
35200812,101000,496,235
35200813,70500,341,200
35200814,55200,1119,605
35200815,30200,532,270
35200821,83000,604,355
35200822,121000,877,550
35200826,80000,1084,610
35200827,62400,423,235
35200828,50000,513,285
35200829,,0,
35200831,97000,560,315
35200832,74000,3655,2270
35200833,51200,797,465
35200855,92000,2382,1310
35200859,49600,548,345
35200860,56000,787,505
35200861,65500,518,300
35200862,82000,401,190
35200863,37600,380,175
35200864,64000,374,175
35200865,71000,556,205
35200866,88000,798,340
35200867,22600,752,420
35200868,63200,682,355
35200869,71000,570,230
35200870,93000,2262,1450
35200876,63200,413,195
35200877,102000,366,165
35200878,46400,649,475
35200879,95000,420,185
35200880,105000,505,215
35200881,75500,371,155
35200882,113000,336,140
35200883,102000,363,135
35200884,93000,483,190
35200885,94000,510,190
35200886,80000,705,260
35200887,81000,581,275
35200888,102000,706,310
35200889,57200,511,170
35200890,53200,481,220
35200891,66000,441,185
35200892,76000,548,295
35200893,76000,271,110
35200894,31600,805,500
35200895,51600,450,255
35200896,49600,531,315
35200897,57200,611,255
35200898,56000,564,205
35200899,60000,372,155
35200900,106000,432,195
35200901,77000,906,520
35200902,53600,642,305
35200903,56400,294,150
35200905,90000,723,175
35200906,103000,1166,360
35200907,91000,441,205
35200908,97000,498,220
35200909,90000,547,245
35200910,81000,561,290
35200911,98000,351,170
35200912,99000,375,175
35200913,95000,586,285
35200914,95000,529,245
35200915,46400,738,395
35200916,91000,533,240
35200917,93000,300,140
35200918,,230,95
35200919,79000,359,175
35200920,109000,642,255
35200921,97000,479,210
35200922,87000,476,220
35200923,84000,313,160
35200924,72000,328,175
35200925,75000,342,175
35200926,76500,347,170
35200927,82000,434,215
35200928,91000,317,135
35200929,76500,355,160
35200930,89000,411,175
35200931,87000,465,235
35200932,82000,258,125
35200933,84000,349,145
35200934,56000,533,225
35200935,82000,351,135
35200936,76500,296,135
35200937,102000,391,145
35200938,77500,297,135
35200939,90000,340,145
35200940,63200,281,135
35200941,96000,331,150
35200942,70500,564,210
35200943,,242,100
35200944,80000,452,185
35200945,90000,463,175
35200946,99000,421,165
35200949,73500,488,225
35200950,68000,445,200
35200951,71000,588,245
35200952,87000,1556,825
35200953,118000,288,120
35200954,82000,338,140
35200955,56800,1278,655
35200956,109000,415,150
35200957,91000,1254,560
35200958,115000,748,315
35200959,112000,725,285
35200960,109000,393,150
35200961,93000,426,160
35200962,80000,464,195
35200963,66500,373,155
35200965,84000,345,135
35200966,99000,339,135
35200967,98000,684,270
35200968,49600,1666,1055
35200969,73000,412,160
35200974,88000,735,305
35200975,84000,372,155
35200976,101000,902,365
35200977,28400,539,300
35200979,170000,520,180
35200981,64500,450,195
35200983,83000,317,135
35200985,89000,399,175
35200986,94000,467,195
35200987,96000,536,210
35200988,83000,583,255
35200989,88000,607,255
35200990,74500,539,215
35200991,111000,418,155
35200992,91000,357,145
35200993,82000,256,110
35200994,80000,412,180
35200995,111000,301,115
35200996,82000,278,130
35200997,97000,676,265
35200998,83000,368,155
35200999,90000,566,225
35201000,89000,664,275
35201001,85000,542,200
35201002,89000,567,205
35201003,103000,501,190
35201004,94000,345,120
35201005,94000,535,200
35201006,91000,561,160
35201007,76000,366,155
35201008,88000,405,185
35201009,79000,397,175
35201010,88000,643,300
35201011,86000,318,140
35201012,87000,363,155
35201013,101000,330,135
35201014,99000,559,240
35201015,87000,663,275
35201016,73500,526,265
35201017,64500,380,175
35201018,91000,400,165
35201019,91000,411,195
35201020,93000,470,200
35201023,76500,677,330
35201024,101000,592,235
35201025,100000,540,265
35201026,68000,478,255
35201027,93000,617,280
35201028,103000,468,195
35201029,85000,894,475
35201030,88000,500,210
35201031,79500,743,430
35201032,65000,413,240
35201033,66000,568,260
35201034,,175,90
35201035,98000,644,415
35201036,34400,585,365
35201038,68000,643,435
35201039,104000,1535,910
35201040,162000,497,235
35201041,96000,983,500
35201044,116000,533,280
35201045,64000,392,245
35201046,61200,475,270
35201047,79500,554,270
35201048,103000,531,245
35201049,120000,673,310
35201050,106000,281,130
35201051,64500,614,425
35201052,68000,505,240
35201053,70000,432,225
35201054,62000,585,370
35201055,73000,723,320
35201056,79500,488,280
35201057,86000,648,355
35201058,67500,485,320
35201059,98000,501,240
35201060,95000,408,205
35201061,87000,511,230
35201062,130000,327,135
35201063,109000,783,340
35201064,83000,638,300
35201065,133000,579,240
35201066,124000,515,205
35201067,141000,442,180
35201068,95000,733,290
35201069,90000,416,190
35201070,86000,352,145
35201071,102000,467,145
35201072,101000,584,245
35201073,100000,633,275
35201076,95000,579,255
35201077,200000,439,155
35201078,93000,894,385
35201079,196000,518,180
35201080,94000,818,425
35201081,122000,349,155
35201104,77500,424,120
35201105,94000,411,180
35201106,80000,493,225
35201107,84000,785,480
35201109,81000,570,285
35201110,73500,774,380
35201111,93000,686,325
35201112,121000,433,170
35201113,52800,422,220
35201114,81000,509,220
35201122,83000,288,110
35201123,88000,327,125
35201124,87000,415,165
35201125,104000,400,150
35201126,78500,324,125
35201127,86000,550,205
35201128,77000,456,170
35201129,99000,580,200
35201130,113000,391,125
35201131,92000,707,280
35201132,80000,690,265
35201133,108000,488,180
35201134,78500,487,195
35201139,68000,383,160
35201140,85000,435,175
35201141,108000,529,200
35201142,98000,459,185
35201143,93000,553,205
35201144,101000,316,125
35201145,77000,627,260
35201146,117000,359,135
35201147,115000,379,145
35201148,83000,413,160
35201149,106000,284,120
35201150,87000,297,115
35201151,72000,295,135
35201152,67000,336,145
35201153,119000,471,190
35201154,107000,510,205
35201155,99000,398,165
35201156,72000,453,210
35201157,107000,343,140
35201158,92000,818,335
35201159,106000,732,275
35201160,66500,342,130
35201161,,237,175
35201162,78500,529,205
35201163,,223,95
35201164,85000,383,150
35201165,97000,562,230
35201166,28400,1076,535
35201167,,181,75
35201168,93000,465,170
35201169,85000,445,180
35201170,85000,616,250
35201171,90000,332,125
35201172,87000,503,190
35201173,84000,367,130
35201174,84000,424,165
35201175,99000,527,180
35201176,112000,454,165
35201177,115000,430,155
35201178,101000,492,175
35201179,82000,417,170
35201180,90000,475,185
35201181,103000,434,155
35201182,103000,716,250
35201185,118000,522,190
35201186,99000,587,225
35201187,90000,318,130
35201188,104000,646,225
35201191,97000,329,120
35201192,94000,430,150
35201193,97000,483,165
35201194,90000,391,140
35201195,92000,373,135
35201196,96000,1001,345
35201197,102000,312,110
35201198,108000,925,300
35201199,86000,561,200
35201200,91000,592,210
35201201,101000,448,150
35201202,89000,454,165
35201203,89000,787,260
35201204,95000,437,145
35201205,62800,664,280
35201206,79000,643,240
35201209,56000,316,145
35201210,95000,273,110
35201211,59200,413,155
35201212,93000,493,185
35201213,62400,413,180
35201214,108000,259,90
35201215,60800,682,300
35201216,83000,548,205
35201217,45200,603,310
35201219,78000,947,350
35201228,70500,367,140
35201240,75000,308,120
35201241,96000,617,220
35201242,24000,663,385
35201243,95000,424,140
35201244,84000,275,90
35201249,93000,531,190
35201250,97000,813,305
35201251,67000,939,345
35201252,86000,348,135
35201253,91000,521,200
35201254,88000,479,180
35201255,92000,369,145
35201256,90000,331,140
35201257,118000,310,130
35201259,84000,450,170
35201263,84000,363,135
35201264,99000,762,275
35201267,101000,460,170
35201278,158000,514,185
35201279,133000,497,190
35201280,112000,439,200
35201281,133000,449,170
35201282,113000,584,245
35201283,102000,390,150
35201284,128000,393,150
35201285,71500,387,180
35201286,81000,262,105
35201287,85000,399,180
35201288,108000,526,210
35201289,95000,313,140
35201290,119000,395,150
35201291,121000,669,260
35201292,132000,543,210
35201293,134000,499,195
35201294,184000,501,175
35201295,176000,570,215
35201297,125000,899,430
35201298,95000,971,540
35201312,106000,1085,570
35201313,107000,429,190
35201314,120000,501,225
35201315,142000,546,205
35201316,115000,551,225
35201317,98000,418,190
35201318,124000,513,205
35201319,107000,528,230
35201320,112000,751,330
35201321,106000,509,215
35201322,89000,552,250
35201323,121000,428,165
35201324,128000,391,140
35201325,131000,410,160
35201326,87000,641,310
35201327,60000,494,275
35201328,66000,303,155
35201329,54400,360,225
35201331,52000,436,230
35201332,44800,759,350
35201333,41600,381,200
35201334,52800,908,435
35201337,44000,547,295
35201338,45200,407,220
35201339,76000,310,150
35201347,101000,532,205
35201348,143000,533,200
35201349,136000,498,195
35201350,121000,686,275
35201351,122000,433,170
35201352,114000,382,165
35201353,141000,414,165
35201354,118000,406,155
35201355,108000,450,195
35201356,120000,367,160
35201357,87000,1067,600
35201358,97000,642,290
35201359,94000,444,210
35201360,76500,604,290
35201361,78000,710,345
35201362,50000,1733,1020
35201363,96000,372,155
35201364,105000,470,205
35201365,105000,768,355
35201368,146000,322,130
35201369,101000,614,260
35201370,156000,367,145
35201371,87000,390,175
35201372,91000,472,200
35201373,154000,370,140
35201374,110000,706,290
35201375,97000,615,270
35201376,95000,688,330
35201377,75500,360,155
35201378,77000,521,275
35201379,93000,594,270
35201380,94000,468,210
35201381,65500,411,170
35201383,77000,419,155
35201384,98000,387,145
35201387,44000,619,290
35201388,86000,656,220
35201389,99000,954,345
35201390,88000,581,210
35201391,107000,320,105
35201393,76000,573,210
35201394,73000,551,205
35201395,66000,470,185
35201396,46000,1442,725
35201397,83000,543,215
35201398,91000,425,135
35201399,81000,439,165
35201400,87000,268,100
35201401,84000,1723,900
35201402,92000,624,285
35201403,96000,282,130
35201404,52000,397,230
35201405,88000,331,110
35201406,98000,555,240
35201407,115000,1014,550
35201408,116000,516,195
35201409,110000,384,180
35201410,95000,365,160
35201411,99000,578,235
35201412,88000,365,145
35201413,113000,419,180
35201414,113000,475,200
35201415,99000,362,165
35201416,30000,449,265
35201417,93000,312,140
35201418,80000,401,190
35201419,100000,440,165
35201420,98000,467,205
35201421,73500,369,185
35201422,84000,572,250
35201423,77500,375,180
35201426,99000,440,200
35201427,94000,489,200
35201428,87000,615,295
35201429,94000,493,215
35201430,107000,427,165
35201431,88000,346,160
35201432,95000,597,265
35201433,92000,618,305
35201434,105000,476,195
35201435,88000,379,190
35201436,58400,504,225
35201437,77000,485,190
35201438,134000,481,195
35201439,101000,530,210
35201440,110000,459,205
35201441,109000,445,175
35201442,101000,802,395
35201443,83000,358,155
35201444,85000,390,185
35201445,88000,343,145
35201446,71000,252,110
35201447,90000,340,115
35201448,74000,342,175
35201449,82000,344,165
35201451,97000,356,180
35201452,103000,1243,730
35201459,41200,372,240
35201460,61200,878,305
35201461,,119,0
35201463,58800,1124,580
35201464,42800,721,410
35201466,89000,457,265
35201467,120000,591,235
35201468,,420,105
35201469,100000,2249,1235
35201471,68000,777,400
35201477,153000,438,155
35201478,135000,443,175
35201479,92000,423,205
35201480,162000,428,160
35201481,86000,381,190
35201482,136000,527,210
35201483,148000,500,205
35201485,143000,511,220
35201486,112000,425,175
35201487,206000,769,255
35201488,192000,651,230
35201489,158000,459,160
35201490,188000,463,155
35201491,102000,557,230
35201492,160000,529,195
35201493,204000,727,265
35201494,145000,706,270
35201495,234000,890,285
35201496,117000,1353,760
35201497,218000,551,210
35201498,412000,394,125
35201499,254000,530,175
35201500,230000,554,190
35201501,260000,696,215
35201502,166000,640,225
35201503,218000,563,195
35201504,218000,404,150
35201505,232000,532,190
35201506,238000,647,245
35201507,135000,852,365
35201508,196000,734,265
35201509,224000,548,180
35201510,212000,540,195
35201511,194000,609,210
35201512,147000,639,225
35201513,152000,612,205
35201514,98000,720,295
35201515,132000,611,220
35201516,130000,670,260
35201517,124000,580,195
35201518,106000,496,195
35201519,92000,1139,550
35201520,103000,690,270
35201521,111000,613,255
35201522,57600,578,295
35201523,95000,405,170
35201524,109000,534,190
35201525,106000,483,185
35201526,115000,1648,725
35201532,102000,673,290
35201541,110000,642,250
35201542,142000,558,210
35201543,111000,543,210
35201544,118000,484,190
35201545,75500,583,280
35201547,110000,674,270
35201548,85000,440,185
35201552,98000,514,210
35201553,68000,566,255
35201554,85000,555,255
35201555,109000,638,285
35201556,70500,631,345
35201557,59600,468,285
35201558,127000,607,260
35201559,36400,630,365
35201560,76500,455,205
35201563,65500,415,190
35201564,75000,433,205
35201565,75000,501,210
35201566,113000,501,185
35201567,126000,668,270
35201568,89000,537,240
35201569,78500,436,200
35201570,69000,365,165
35201571,115000,491,190
35201572,78500,547,240
35201573,62400,1170,580
35201574,86000,493,225
35201575,85000,663,335
35201576,98000,1297,640
35201577,95000,465,210
35201578,80000,390,180
35201579,76000,999,475
35201580,80000,345,180
35201581,75000,737,395
35201582,106000,380,175
35201583,127000,689,260
35201584,98000,481,185
35201585,130000,469,175
35201586,87000,384,155
35201587,116000,456,175
35201588,102000,609,225
35201589,121000,658,255
35201590,88000,625,245
35201591,104000,575,220
35201592,111000,458,175
35201593,93000,388,140
35201594,119000,417,145
35201595,135000,820,275
35201596,114000,721,250
35201597,103000,641,240
35201598,102000,396,150
35201599,115000,527,205
35201600,53200,624,325
35201601,102000,909,355
35201602,119000,395,155
35201603,137000,478,175
35201604,149000,486,170
35201605,132000,390,135
35201607,93000,826,355
35201608,127000,442,150
35201609,118000,348,120
35201610,84000,1356,475
35201611,168000,487,160
35201612,168000,363,125
35201613,84000,374,155
35201614,77500,626,265
35201615,190000,460,155
35201616,188000,562,175
35201617,105000,1033,540
35201620,98000,773,320
35201621,82000,319,145
35201622,122000,471,165
35201623,75000,1328,600
35201624,122000,448,155
35201625,127000,509,195
35201626,111000,312,130
35201627,113000,368,120
35201629,113000,301,105
35201630,109000,431,150
35201631,91000,666,230
35201632,131000,327,115
35201634,109000,369,130
35201635,118000,428,150
35201636,136000,400,145
35201641,76500,1740,785
35201647,126000,582,215
35201648,156000,541,185
35201649,124000,544,190
35201650,164000,377,120
35201652,137000,564,200
35201653,160000,436,145
35201654,162000,477,160
35201656,128000,416,155
35201657,104000,454,195
35201658,132000,481,165
35201659,123000,516,195
35201660,147000,454,155
35201661,104000,686,245
35201662,116000,521,190
35201663,92000,3922,2050
35201664,122000,1992,915
35201665,130000,1198,425
35201666,114000,514,185
35201667,76000,1651,950
35201670,57200,440,200
35201672,72500,553,230
35201673,75500,411,170
35201674,102000,760,335
35201675,105000,748,340
35201676,146000,826,305
35201690,164000,674,235
35201691,186000,556,195
35201692,180000,917,330
35201693,256000,1053,335
35201694,83000,664,305
35201695,59600,367,225
35201696,81000,1609,785
35201697,272000,480,160
35201698,64000,599,315
35201699,246000,495,165
35201700,109000,708,290
35201701,228000,553,185
35201702,204000,505,170
35201703,180000,589,200
35201704,226000,479,160
35201705,141000,471,175
35201706,159000,644,225
35201707,143000,495,175
35201708,132000,578,210
35201709,142000,308,120
35201710,136000,447,155
35201711,170000,473,150
35201712,190000,367,125
35201713,186000,422,140
35201714,79000,1305,475
35201717,35600,567,380
35201718,157000,495,165
35201719,111000,502,195
35201720,112000,610,205
35201721,74000,456,165
35201722,67000,1044,405
35201723,94000,438,130
35201724,102000,395,150
35201725,92000,903,400
35201726,104000,451,150
35201728,55600,1209,555
35201730,134000,454,160
35201731,109000,443,175
35201732,111000,725,250
35201734,115000,506,200
35201735,77000,439,120
35201736,42800,821,355
35201737,86000,638,250
35201738,156000,480,160
35201739,138000,469,170
35201740,196000,557,170
35201741,156000,450,150
35201744,74000,1810,740
35201748,87000,1364,500
35201749,110000,415,150
35201750,114000,474,170
35201751,142000,292,95
35201752,128000,271,95
35201753,120000,253,95
35201754,126000,282,105
35201755,119000,507,175
35201756,129000,665,240
35201757,119000,371,140
35201758,126000,544,180
35201759,142000,815,285
35201760,133000,430,150
35201761,132000,510,175
35201762,128000,838,280
35201779,67000,2647,870
35201781,80000,438,180
35201782,,221,80
35201783,115000,376,110
35201784,84000,782,265
35201785,89000,580,190
35201786,120000,456,155
35201787,108000,498,180
35201788,113000,441,160
35201789,72000,1022,360
35201790,68500,344,135
35201791,70500,749,285
35201792,102000,419,130
35201793,92000,313,115
35201802,121000,418,150
35201803,143000,375,130
35201804,162000,441,155
35201805,158000,651,230
35201806,155000,521,185
35201807,110000,668,235
35201816,97000,472,140
35201817,106000,474,150
35201818,103000,515,185
35201819,99000,380,140
35201820,112000,542,195
35201822,81000,907,305
35201823,105000,434,130
35201824,104000,441,150
35201825,87000,630,190
35201826,86000,458,165
35201827,94000,412,155
35201828,103000,439,140
35201829,105000,472,155
35201830,89000,428,155
35201831,104000,330,125
35201832,97000,261,90
35201833,93000,422,155
35201834,88000,453,160
35201835,65000,1217,430
35201838,56400,582,265
35201839,103000,456,145
35201840,105000,572,165
35201841,25600,472,285
35201842,101000,608,190
35201843,79500,471,165
35201844,99000,531,175
35201845,112000,435,145
35201846,97000,614,225
35201847,121000,436,145
35201848,100000,386,130
35201849,81000,699,225
35201850,104000,436,145
35201851,72500,1280,560
35201852,98000,340,105
35201853,62800,686,175
35201854,68500,1750,460
35201855,113000,399,105
35201856,25000,1216,635
35201857,68500,966,295
35201858,79000,464,150
35201859,97000,491,140
35201860,90000,648,190
35201861,102000,421,120
35201862,100000,619,195
35201863,93000,847,225
35201864,86000,591,180
35201868,89000,880,255
35201869,76500,457,145
35201872,74500,603,200
35201874,65000,1091,330
35201875,70500,1189,380
35201876,84000,1805,565
35201877,86000,266,85
35201879,89000,357,120
35201880,109000,538,170
35201881,95000,561,195
35201882,89000,469,165
35201883,79000,760,220
35201884,86000,442,150
35201885,74000,482,150
35201886,92000,613,175
35201887,87000,420,130
35201888,64500,888,270
35201889,82000,636,210
35201890,82000,844,280
35201892,78000,1036,320
35201893,102000,455,130
35201894,84000,623,195
35201895,101000,434,130
35201896,94000,407,130
35201900,88000,400,135
35201901,86000,426,135
35201902,66500,525,195
35201903,82000,1447,465
35201904,100000,617,185
35201905,81000,402,140
35201906,86000,374,115
35201907,78500,496,165
35201908,103000,497,160
35201909,103000,370,145
35201912,32400,500,215
35201913,106000,428,140
35201914,94000,263,90
35201915,92000,373,130
35201919,95000,450,150
35201920,92000,1341,500
35201935,109000,472,175
35201936,108000,482,165
35201937,101000,465,165
35201938,110000,826,280
35201939,111000,497,165
35201940,110000,505,145
35201950,107000,487,175
35201951,96000,608,215
35201952,91000,459,165
35201953,102000,522,175
35201955,32400,499,245
35201958,74500,589,225
35201959,74000,711,270
35201960,74000,1081,375
35201961,61200,840,360
35201962,84000,534,185
35201963,98000,449,160
35201964,94000,477,160
35201965,103000,606,205
35201966,102000,592,205
35201967,107000,259,90
35201968,76500,392,130
35201969,90000,322,115
35201970,99000,482,140
35201971,105000,429,130
35201972,81000,1341,425
35201973,85000,801,225
35201976,87000,654,210
35201977,66000,1373,430
35201979,91000,548,175
35201983,88000,335,110
35201984,80000,614,175
35201985,81000,263,85
35201986,91000,393,120
35201987,99000,810,245
35201988,96000,280,80
35201989,68500,544,205
35201992,83000,401,135
35201993,90000,910,285
35201996,98000,489,145
35201997,91000,477,155
35201998,93000,525,160
35201999,63200,878,350
35202000,90000,612,195
35202001,45600,1437,685
35202002,75000,681,240
35202003,71000,1108,380
35202004,97000,804,255
35202005,75500,457,170
35202006,85000,331,125
35202007,98000,580,170
35202013,50400,2078,790
35202016,69000,1064,370
35202017,68000,3410,1285
35202018,46400,1305,490
35202019,69500,460,160
35202020,97000,410,115
35202021,63200,768,245
35202022,81000,432,135
35202023,85000,1428,445
35202024,96000,881,285
35202025,100000,628,205
35202026,65000,492,170
35202027,103000,398,120
35202028,76500,273,95
35202029,96000,780,260
35202030,82000,1057,350
35202031,72000,877,300
35202035,71000,697,235
35202036,50000,583,200
35202037,78500,405,115
35202040,66000,574,200
35202042,60400,1163,405
35202045,76000,450,145
35202046,66500,1410,455
35202047,91000,468,135
35202048,71000,359,120
35202049,102000,474,135
35202050,83000,1128,300
35202051,66500,779,320
35202055,76500,863,255
35202056,87000,1088,325
35202057,85000,1159,360
35202058,81000,961,260
35202059,74500,762,270
35202065,62000,2029,690
35202066,78500,845,265
35202067,78000,264,75
35202071,68000,1111,410
35202072,96000,404,120
35202075,94000,564,180
35202079,93000,308,95
35202080,93000,544,165
35202084,85000,402,140
35202085,62800,1100,420
35202086,67000,1267,465
35202087,26200,783,435
35202088,57200,783,365
35202089,65500,584,215
35202090,64000,388,150
35202091,86000,524,170
35202096,65500,1032,335
35202097,62000,447,155
35202098,89000,2043,1020
35202100,104000,395,145
35202101,118000,401,150
35202102,79000,623,215
35202103,71000,587,220
35202104,66000,554,230
35202105,103000,443,150
35202106,123000,586,200
35202107,110000,371,135
35202108,96000,1316,525
35202109,101000,969,400
35202110,89000,801,340
35202111,210000,499,155
35202112,98000,941,370
35202113,113000,649,205
35202114,142000,452,140
35202115,135000,531,160
35202116,164000,493,145
35202117,83000,601,220
35202118,96000,531,180
35202119,71000,884,360
35202120,86000,989,430
35202121,116000,564,180
35202122,202000,599,175
35202123,119000,644,200
35202124,268000,578,185
35202125,99000,699,265
35202126,328000,708,200
35202127,157000,485,150
35202128,196000,677,225
35202129,102000,547,190
35202130,80000,499,200
35202131,64000,885,380
35202132,60800,1678,1005
35202133,109000,743,230
35202134,143000,778,205
35202135,83000,672,215
35202136,39200,528,200
35202137,59600,1391,580
35202138,96000,442,150
35202139,83000,551,190
35202140,81000,3413,1720
35202141,103000,416,150
35202145,75000,764,290
35202147,62000,714,350
35202149,103000,610,180
35202150,107000,467,160
35202151,105000,514,155
35202152,73000,3603,1910
35202153,97000,515,155
35202154,76000,327,130
35202155,87000,579,225
35202156,157000,547,175
35202157,100000,376,125
35202158,180000,457,140
35202159,105000,1744,655
35202160,90000,475,175
35202161,105000,833,295
35202162,77000,716,265
35202163,71000,634,245
35202164,95000,830,345
35202165,90000,945,320
35202166,73000,452,180
35202167,88000,470,170
35202168,67000,407,145
35202169,73000,523,200
35202170,89000,445,155
35202171,78000,366,125
35202172,70000,863,325
35202173,74000,818,320
35202174,95000,311,100
35202175,101000,353,135
35202176,104000,401,135
35202177,98000,629,220
35202178,74000,983,440
35202179,67500,586,245
35202180,71500,995,355
