OriginID,BranchID,prob,expected_cust,distance_km,StoreAttr
362,1,0.10377916466770973,1196.3662102893577,32.20251965658405,239199.0
362,2,0.3662183217339113,4221.76481294853,17.420066056699046,279304.0
362,3,0.043585980771838714,502.4591863377567,46.93335498485104,197907.0
362,4,0.03151876120405103,363.3482791603003,56.58886704090825,200416.0
362,5,0.033657527633787286,388.00397856229984,57.96361613239355,223465.0
362,6,0.045440550667288145,523.8386680924978,34.94876825380989,121358.0
362,7,0.17242944715531208,1987.7666668064378,18.705424742718154,149486.0
362,8,0.1737141326514718,2002.5765212061667,16.730606944486805,123198.0
362,9,0.010885735012602068,125.49075322527663,98.75502196066068,188587.0
362,10,0.007759566744012006,89.45228542497041,82.21600090317054,96651.0
362,11,0.001275494121299333,14.703896230338712,204.2016840019282,81702.0
362,12,0.00037454193903043933,4.317719473142905,365.7046510005197,68483.0
362,13,0.00414705884800846,47.807294399841524,123.96832614563073,108180.0
362,14,0.004628873372913868,53.36165224295107,100.50254664956987,82764.0
362,15,0.0005848434767638211,6.7420756001333295,311.2588879448105,80003.0
363,1,0.014059835426296005,69.680544372723,26.43822874235072,239199.0
363,2,0.007338893635172438,36.371556855914605,41.3515739298474,279304.0
363,3,0.050189301104092754,248.7381762718837,11.73529357352072,197907.0
363,4,0.8882055967381509,4401.946937434276,2.394718370619904,200416.0
363,5,0.02162659333201236,107.18139655345327,20.04114401235722,223465.0
363,6,0.0045950378866254585,22.77300776611577,33.755424448898,121358.0
363,7,0.0035712052892815527,17.698893413679375,43.597163555746995,149486.0
363,8,0.0011587981430709353,5.743003597059555,73.17332154430173,123198.0
363,9,0.004548125182279741,22.540508403378396,43.36875174185173,188587.0
363,10,0.0014592256268914443,7.231922206873998,56.25737403344889,96651.0
363,11,0.00022115473372687745,1.0960428603504047,146.17574449737808,81702.0
363,12,4.845048348697147e-05,0.2401205961614306,308.0522051798415,68483.0
363,13,0.0011379151718089765,5.6395075914852875,68.76630206165802,108180.0
363,14,0.0017991321351938992,8.916498862020964,45.94433401728503,82764.0
363,15,4.073511190943567e-05,0.2018832146231632,369.8170513863243,80003.0
364,1,0.06364350507355802,1181.09616715509,41.10704843311022,239199.0
364,2,0.1674921559678518,3108.3194304513936,26.172679716507112,279304.0
364,3,0.03032600985774536,562.7900909400383,55.85344548729653,197907.0
364,4,0.023045073012878076,427.67046497299134,65.51374461380354,200416.0
364,5,0.024612352633876358,456.75604017947745,67.0999920370002,223465.0
364,6,0.0287525876165586,533.5905209880945,43.843844712920976,121358.0
364,7,0.08122764238834781,1507.4225874429587,27.646091483106247,149486.0
364,8,0.5560188101555188,10318.597078866118,8.528363161961375,123198.0
364,9,0.008974842125047428,166.55512015663015,106.95048906164617,188587.0
364,10,0.006620319976793064,122.85989812932569,87.36097294250555,96651.0
