CLUSTER_ID,DomBranch,DomProb,PopWeighted,lat,lon
1,4,0.8385471542728182,47848.0,43.609273788372995,-79.66066541903218
2,2,0.8811362017265998,46276.0,43.754294640073525,-79.23083886431988
3,1,0.35928136408812256,32552.0,43.68941923396424,-79.48808901607616
4,1,0.4156518977049209,41742.0,43.750103250874425,-79.32483442543355
5,3,0.951195038545371,31267.0,43.638416939908836,-79.53062636659993
6,4,0.5306925684261217,37577.0,43.549463687837466,-79.73748054313188
7,4,0.6988009236712387,36596.0,43.597847277735035,-79.60495601041194
8,1,0.8442259063459995,33935.0,43.689803931663114,-79.40993224372659
9,1,0.4059063441665326,31942.0,43.67690993899471,-79.47002950030156
10,1,0.3990661212430089,32796.0,43.72780610510795,-79.30346250230448
11,2,0.7732689653924872,33119.0,43.745984083609706,-79.25397398901052
12,4,0.8014735141922611,33480.0,43.5677500867269,-79.67942660797686
13,3,0.8338495253389384,27755.0,43.64453510562787,-79.51532186612242
14,3,0.3682675375132754,44416.0,43.67350790997802,-79.47365011963004
15,4,0.535392959959237,36464.0,43.56680238546039,-79.7419926101241
16,1,0.7263860399672999,42639.0,43.711225595065024,-79.34223394178237
17,4,0.5148262525320026,33934.0,43.63356862651969,-79.63089960824391
18,1,0.5541966375465265,30724.0,43.703397138390194,-79.46575512483857
19,1,0.9685834029625199,34405.0,43.720216436375345,-79.40235254143019
20,4,0.3389235340014859,30176.0,43.50715932291724,-79.80652580416593
21,1,0.5544166716533309,35014.0,43.65465447480966,-79.40857579034251
22,2,0.8271960326980594,40529.0,43.78050253611533,-79.27361472563642
23,1,0.7189259040040614,29140.0,43.67457876245455,-79.40741920761756
24,1,0.7683665247700352,28825.0,43.67954664796824,-79.4052373614892
25,4,0.46936162074752713,27876.0,43.60027812159597,-79.75112367506841
26,3,0.701740976019273,34976.0,43.6249642731133,-79.49946226069825
27,4,0.4003487840207653,27688.0,43.53801544060993,-79.78537461866175
28,3,0.6463526450564054,31276.0,43.634652192718995,-79.58993723528023
